from,to_type,to_name,gene_name
1149,UniProtKB reviewed (Swiss-Prot),O60543,CIDEA
64750,UniProtKB reviewed (Swiss-Prot),Q9HAU4,SMURF2
5685,UniProtKB reviewed (Swiss-Prot),P25789,PSMA4|||HC9|||PSC9
60592,UniProtKB reviewed (Swiss-Prot),Q9UIL1,SCOC|||SCOCO
2892,UniProtKB reviewed (Swiss-Prot),P42263,GRIA3|||GLUR3|||GLURC
3490,UniProtKB reviewed (Swiss-Prot),Q16270,IGFBP7|||MAC25|||PSF
9092,UniProtKB reviewed (Swiss-Prot),O43290,SART1
8703,UniProtKB reviewed (Swiss-Prot),O60512,B4GALT3
84560,UniProtKB reviewed (Swiss-Prot),P47944,MT4
1523,UniProtKB reviewed (Swiss-Prot),P39880,CUX1|||CUTL1
1523,UniProtKB reviewed (Swiss-Prot),Q13948,CUX1|||CUTL1
3845,UniProtKB reviewed (Swiss-Prot),P01116,KRAS|||KRAS2|||RASK2
8425,UniProtKB reviewed (Swiss-Prot),Q8N2S1,LTBP4
11200,UniProtKB reviewed (Swiss-Prot),O96017,CHEK2|||CDS1|||CHK2|||RAD53
3033,UniProtKB reviewed (Swiss-Prot),Q16836,HADH|||HAD|||HAD1|||HADHSC|||SCHAD
79172,UniProtKB reviewed (Swiss-Prot),Q9BU64,CENPO|||ICEN36|||MCM21R
23019,UniProtKB reviewed (Swiss-Prot),A5YKK6,CNOT1|||CDC39|||KIAA1007|||NOT1
3276,UniProtKB reviewed (Swiss-Prot),Q99873,PRMT1|||HMT2|||HRMT1L2|||IR1B4
8243,UniProtKB reviewed (Swiss-Prot),Q14683,SMC1A|||DXS423E|||KIAA0178|||SB1.8|||SMC1|||SMC1L1
3608,UniProtKB reviewed (Swiss-Prot),Q12905,ILF2|||NF45
4985,UniProtKB reviewed (Swiss-Prot),P41143,OPRD1|||OPRD
7326,UniProtKB reviewed (Swiss-Prot),P62253,UBE2G1|||UBE2G
1500,UniProtKB reviewed (Swiss-Prot),O60716,CTNND1|||KIAA0384
21,UniProtKB reviewed (Swiss-Prot),Q99758,ABCA3|||ABC3
79980,UniProtKB reviewed (Swiss-Prot),Q9H410,DSN1|||C20orf172|||MIS13
29107,UniProtKB reviewed (Swiss-Prot),Q9UKK6,NXT1
6205,UniProtKB reviewed (Swiss-Prot),P62280,RPS11
51013,UniProtKB reviewed (Swiss-Prot),Q9Y3B2,EXOSC1|||CSL4
4809,UniProtKB reviewed (Swiss-Prot),P55769,SNU13|||NHP2L1
5423,UniProtKB reviewed (Swiss-Prot),P06746,POLB
7770,UniProtKB reviewed (Swiss-Prot),Q86WZ6,ZNF227
7531,UniProtKB reviewed (Swiss-Prot),P62258,YWHAE
10935,UniProtKB reviewed (Swiss-Prot),P30048,PRDX3|||AOP1
55388,UniProtKB reviewed (Swiss-Prot),Q7L590,MCM10
7349,UniProtKB reviewed (Swiss-Prot),P55089,UCN
11009,UniProtKB reviewed (Swiss-Prot),Q13007,IL24|||MDA7|||ST16
238,UniProtKB reviewed (Swiss-Prot),Q9UM73,ALK
10440,UniProtKB reviewed (Swiss-Prot),Q99595,TIMM17A|||MIMT17|||TIM17|||TIM17A|||TIMM17
23028,UniProtKB reviewed (Swiss-Prot),O60341,KDM1A|||AOF2|||KDM1|||KIAA0601|||LSD1
1807,UniProtKB reviewed (Swiss-Prot),Q14117,DPYS
493869,UniProtKB reviewed (Swiss-Prot),Q8TED1,GPX8
695,UniProtKB reviewed (Swiss-Prot),Q06187,BTK|||AGMX1|||ATK|||BPK
5087,UniProtKB reviewed (Swiss-Prot),P40424,PBX1|||PRL
8434,UniProtKB reviewed (Swiss-Prot),O95980,RECK|||ST15
27181,UniProtKB reviewed (Swiss-Prot),Q9NYZ4,SIGLEC8|||SAF2
114787,UniProtKB reviewed (Swiss-Prot),Q7Z2K8,GPRIN1|||KIAA1893
8664,UniProtKB reviewed (Swiss-Prot),O15371,EIF3D|||EIF3S7
682,UniProtKB reviewed (Swiss-Prot),P35613,BSG
51166,UniProtKB reviewed (Swiss-Prot),Q8N5Z0,AADAT|||KAT2|||KYAT2
324,UniProtKB reviewed (Swiss-Prot),P25054,APC|||DP2.5
1382,UniProtKB reviewed (Swiss-Prot),P29373,CRABP2
1944,UniProtKB reviewed (Swiss-Prot),P52797,EFNA3|||EFL2|||EPLG3|||LERK3
2803,UniProtKB reviewed (Swiss-Prot),Q13439,GOLGA4
5876,UniProtKB reviewed (Swiss-Prot),P53611,RABGGTB|||GGTB
5774,UniProtKB reviewed (Swiss-Prot),P26045,PTPN3|||PTPH1
203,UniProtKB reviewed (Swiss-Prot),P00568,AK1
10670,UniProtKB reviewed (Swiss-Prot),Q7L523,RRAGA
51747,UniProtKB reviewed (Swiss-Prot),O95232,LUC7L3|||CREAP1|||CROP|||O48
8789,UniProtKB reviewed (Swiss-Prot),O00757,FBP2
4627,UniProtKB reviewed (Swiss-Prot),P35579,MYH9
10979,UniProtKB reviewed (Swiss-Prot),Q96AC1,FERMT2|||KIND2|||MIG2|||PLEKHC1
26999,UniProtKB reviewed (Swiss-Prot),Q96F07,CYFIP2|||KIAA1168|||PIR121
115509,UniProtKB reviewed (Swiss-Prot),Q96CS4,ZNF689
6150,UniProtKB reviewed (Swiss-Prot),Q16540,MRPL23|||L23MRP|||RPL23L
22926,UniProtKB reviewed (Swiss-Prot),P18850,ATF6
3417,UniProtKB reviewed (Swiss-Prot),O75874,IDH1|||PICD
54820,UniProtKB reviewed (Swiss-Prot),Q9NXR1,NDE1|||NUDE
84950,UniProtKB reviewed (Swiss-Prot),Q8NAV1,PRPF38A
3068,UniProtKB reviewed (Swiss-Prot),P51858,HDGF|||HMG1L2
7077,UniProtKB reviewed (Swiss-Prot),P16035,TIMP2
4036,UniProtKB reviewed (Swiss-Prot),P98164,LRP2
9416,UniProtKB reviewed (Swiss-Prot),Q9BUQ8,DDX23
2241,UniProtKB reviewed (Swiss-Prot),P16591,FER|||TYK3
10635,UniProtKB reviewed (Swiss-Prot),Q96B01,RAD51AP1|||PIR51
51118,UniProtKB reviewed (Swiss-Prot),Q9Y3A2,UTP11|||UTP11L
1983,UniProtKB reviewed (Swiss-Prot),P55010,EIF5
3164,UniProtKB reviewed (Swiss-Prot),P22736,NR4A1|||GFRP1|||HMR|||NAK1
1040,UniProtKB reviewed (Swiss-Prot),Q92903,CDS1|||CDS
4089,UniProtKB reviewed (Swiss-Prot),Q13485,SMAD4|||DPC4|||MADH4
340348,UniProtKB reviewed (Swiss-Prot),Q86UF1,TSPAN33|||PEN
6770,UniProtKB reviewed (Swiss-Prot),P49675,STAR|||STARD1
768,UniProtKB reviewed (Swiss-Prot),Q16790,CA9|||G250|||MN
51552,UniProtKB reviewed (Swiss-Prot),P61106,RAB14
6129,UniProtKB reviewed (Swiss-Prot),P18124,RPL7
6924,UniProtKB reviewed (Swiss-Prot),Q14241,ELOA|||TCEB3
5311,UniProtKB reviewed (Swiss-Prot),Q13563,PKD2|||TRPP2
337876,UniProtKB reviewed (Swiss-Prot),Q70JA7,CHSY3|||CHSY2|||CSS3
54938,UniProtKB reviewed (Swiss-Prot),Q9NP81,SARS2|||SARSM
53919,UniProtKB reviewed (Swiss-Prot),Q9NYB5,SLCO1C1|||OATP14|||OATP1C1|||OATPF|||SLC21A14
55832,UniProtKB reviewed (Swiss-Prot),Q86VP6,CAND1|||KIAA0829|||TIP120|||TIP120A
10367,UniProtKB reviewed (Swiss-Prot),Q9BPX6,MICU1|||CALC|||CBARA1
1677,UniProtKB reviewed (Swiss-Prot),O76075,DFFB|||CAD|||DFF2|||DFF40
64324,UniProtKB reviewed (Swiss-Prot),Q96L73,NSD1|||ARA267|||KMT3B
4486,UniProtKB reviewed (Swiss-Prot),Q04912,MST1R|||PTK8|||RON
27072,UniProtKB reviewed (Swiss-Prot),P49754,VPS41
5202,UniProtKB reviewed (Swiss-Prot),Q9UHV9,PFDN2|||PFD2
10038,UniProtKB reviewed (Swiss-Prot),Q9UGN5,PARP2|||ADPRT2|||ADPRTL2
2822,UniProtKB reviewed (Swiss-Prot),P80108,GPLD1|||PIGPLD1
8894,UniProtKB reviewed (Swiss-Prot),P20042,EIF2S2|||EIF2B
1593,UniProtKB reviewed (Swiss-Prot),Q02318,CYP27A1|||CYP27
8669,UniProtKB reviewed (Swiss-Prot),O75822,EIF3J|||EIF3S1
26092,UniProtKB reviewed (Swiss-Prot),Q5JTV8,TOR1AIP1|||LAP1
3187,UniProtKB reviewed (Swiss-Prot),P31943,HNRNPH1|||HNRPH|||HNRPH1
64428,UniProtKB reviewed (Swiss-Prot),Q9H6Q4,CIAO3|||NARFL|||PRN
10811,UniProtKB reviewed (Swiss-Prot),Q86UR1,NOXA1|||P51NOX
7336,UniProtKB reviewed (Swiss-Prot),Q15819,UBE2V2|||MMS2|||UEV2
1826,UniProtKB reviewed (Swiss-Prot),O60469,DSCAM
3915,UniProtKB reviewed (Swiss-Prot),P11047,LAMC1|||LAMB2
8546,UniProtKB reviewed (Swiss-Prot),O00203,AP3B1|||ADTB3A
1612,UniProtKB reviewed (Swiss-Prot),P53355,DAPK1|||DAPK
80740,UniProtKB reviewed (Swiss-Prot),O95867,LY6G6C|||C6orf24|||G6C|||NG24
9355,UniProtKB reviewed (Swiss-Prot),P50458,LHX2|||LH2
2915,UniProtKB reviewed (Swiss-Prot),P41594,GRM5|||GPRC1E|||MGLUR5
84321,UniProtKB reviewed (Swiss-Prot),Q96J01,THOC3
53373,UniProtKB reviewed (Swiss-Prot),Q9ULQ1,TPCN1|||KIAA1169|||TPC1
64754,UniProtKB reviewed (Swiss-Prot),Q9H7B4,SMYD3|||ZMYND1|||ZNFN3A1
10558,UniProtKB reviewed (Swiss-Prot),O15269,SPTLC1|||LCB1
9564,UniProtKB reviewed (Swiss-Prot),P56945,BCAR1|||CAS|||CASS1|||CRKAS
55957,UniProtKB reviewed (Swiss-Prot),Q96GY3,LIN37
3998,UniProtKB reviewed (Swiss-Prot),P49257,LMAN1|||ERGIC53|||F5F8D
5228,UniProtKB reviewed (Swiss-Prot),P49763,PGF|||PGFL|||PLGF
10284,UniProtKB reviewed (Swiss-Prot),O00422,SAP18
7247,UniProtKB reviewed (Swiss-Prot),Q15631,TSN
59283,UniProtKB reviewed (Swiss-Prot),Q8WXS5,CACNG8|||CACNG6
2768,UniProtKB reviewed (Swiss-Prot),Q03113,GNA12
286,UniProtKB reviewed (Swiss-Prot),P16157,ANK1|||ANK
309,UniProtKB reviewed (Swiss-Prot),P08133,ANXA6|||ANX6
944,UniProtKB reviewed (Swiss-Prot),P32971,TNFSF8|||CD30L|||CD30LG
26986,UniProtKB reviewed (Swiss-Prot),P11940,PABPC1|||PAB1|||PABP|||PABP1|||PABPC2
10728,UniProtKB reviewed (Swiss-Prot),Q15185,PTGES3|||P23|||TEBP
5583,UniProtKB reviewed (Swiss-Prot),P24723,PRKCH|||PKCL|||PRKCL
83999,UniProtKB reviewed (Swiss-Prot),Q96MU8,KREMEN1|||KREMEN|||KRM1
47,UniProtKB reviewed (Swiss-Prot),P53396,ACLY
23095,UniProtKB reviewed (Swiss-Prot),O60333,KIF1B|||KIAA0591|||KIAA1448
9166,UniProtKB reviewed (Swiss-Prot),O00559,EBAG9|||RCAS1
133,UniProtKB reviewed (Swiss-Prot),P35318,ADM|||AM
27159,UniProtKB reviewed (Swiss-Prot),Q9BZP6,CHIA
64175,UniProtKB reviewed (Swiss-Prot),Q32P28,P3H1|||GROS1|||LEPRE1
284359,UniProtKB reviewed (Swiss-Prot),Q8IYV9,IZUMO1
57647,UniProtKB reviewed (Swiss-Prot),Q8IY37,DHX37|||DDX37|||KIAA1517
3452,UniProtKB reviewed (Swiss-Prot),P01568,IFNA21
8776,UniProtKB reviewed (Swiss-Prot),Q13613,MTMR1
27350,UniProtKB reviewed (Swiss-Prot),Q9NRW3,APOBEC3C|||APOBEC1L|||PBI
27229,UniProtKB reviewed (Swiss-Prot),Q9UGJ1,TUBGCP4|||76P|||GCP4
4544,UniProtKB reviewed (Swiss-Prot),P49286,MTNR1B
11044,UniProtKB reviewed (Swiss-Prot),Q5XG87,TENT4A|||PAPD7|||POLS|||TRF4
9390,UniProtKB reviewed (Swiss-Prot),Q9Y226,SLC22A13|||OCTL1|||ORCTL3
117247,UniProtKB reviewed (Swiss-Prot),Q8TF71,SLC16A10|||MCT10|||TAT1
398,UniProtKB reviewed (Swiss-Prot),Q99819,ARHGDIG
3459,UniProtKB reviewed (Swiss-Prot),P15260,IFNGR1
4241,UniProtKB reviewed (Swiss-Prot),P08582,MELTF|||MAP97|||MFI2
51514,UniProtKB reviewed (Swiss-Prot),Q9NZJ0,DTL|||CDT2|||CDW1|||DCAF2|||L2DTL|||RAMP
83549,UniProtKB reviewed (Swiss-Prot),Q9HA47,UCK1|||URK1
5106,UniProtKB reviewed (Swiss-Prot),Q16822,PCK2|||PEPCK2
4193,UniProtKB reviewed (Swiss-Prot),Q00987,MDM2
29954,UniProtKB reviewed (Swiss-Prot),Q9UKY4,POMT2
55226,UniProtKB reviewed (Swiss-Prot),Q9H0A0,NAT10|||ALP|||KIAA1709
92610,UniProtKB reviewed (Swiss-Prot),Q96CG3,TIFA|||T2BP
2203,UniProtKB reviewed (Swiss-Prot),P09467,FBP1|||FBP
90390,UniProtKB reviewed (Swiss-Prot),Q96HR3,MED30|||THRAP6|||TRAP25
259173,UniProtKB reviewed (Swiss-Prot),Q60I27,ALS2CL
7039,UniProtKB reviewed (Swiss-Prot),P01135,TGFA
5720,UniProtKB reviewed (Swiss-Prot),Q06323,PSME1|||IFI5111
1440,UniProtKB reviewed (Swiss-Prot),P09919,CSF3|||C17orf33|||GCSF
4915,UniProtKB reviewed (Swiss-Prot),Q16620,NTRK2|||TRKB
4170,UniProtKB reviewed (Swiss-Prot),Q07820,MCL1|||BCL2L3
80835,UniProtKB reviewed (Swiss-Prot),Q7RTX1,TAS1R1|||GPR70|||T1R1|||TR1
3675,UniProtKB reviewed (Swiss-Prot),P26006,ITGA3|||MSK18
10370,UniProtKB reviewed (Swiss-Prot),Q99967,CITED2|||MRG1
92259,UniProtKB reviewed (Swiss-Prot),P82909,KGD4|||MRPS36
10971,UniProtKB reviewed (Swiss-Prot),P27348,YWHAQ
6208,UniProtKB reviewed (Swiss-Prot),P62263,RPS14
54894,UniProtKB reviewed (Swiss-Prot),Q68DV7,RNF43
9652,UniProtKB reviewed (Swiss-Prot),Q6PGP7,SKIC3|||KIAA0372|||TTC37
95,UniProtKB reviewed (Swiss-Prot),Q03154,ACY1
11316,UniProtKB reviewed (Swiss-Prot),O14579,COPE
23563,UniProtKB reviewed (Swiss-Prot),Q9GZS9,CHST5
665,UniProtKB reviewed (Swiss-Prot),O60238,BNIP3L|||BNIP3A|||BNIP3H|||NIX
64949,UniProtKB reviewed (Swiss-Prot),Q9BYN8,MRPS26|||C20orf193|||RPMS13
8355,UniProtKB reviewed (Swiss-Prot),P68431,H3C1|||H3C2|||H3C3|||H3C4|||H3C6|||H3C7|||H3C8|||H3C10|||H3C11|||H3C12|||H3FA|||HIST1H3A|||H3FL|||HIST1H3B|||H3FC HIST1H3C|||H3FB|||HIST1H3D|||H3FD|||HIST1H3E|||H3FI|||HIST1H3F|||H3FH|||HIST1H3G|||H3FK|||HIST1H3H|||H3FF|||HIST1H3I|||H3FJ|||HIST1H3J
842,UniProtKB reviewed (Swiss-Prot),P55211,CASP9|||MCH6
6742,UniProtKB reviewed (Swiss-Prot),Q04837,SSBP1|||SSBP
9643,UniProtKB reviewed (Swiss-Prot),Q15014,MORF4L2|||KIAA0026|||MRGX
22872,UniProtKB reviewed (Swiss-Prot),O94979,SEC31A|||KIAA0905|||SEC31L1
80028,UniProtKB reviewed (Swiss-Prot),Q96ME1,FBXL18|||FBL18
22949,UniProtKB reviewed (Swiss-Prot),Q14914,PTGR1|||LTB4DH
10007,UniProtKB reviewed (Swiss-Prot),P46926,GNPDA1|||GNPI|||HLN|||KIAA0060
6317,UniProtKB reviewed (Swiss-Prot),P29508,SERPINB3|||SCCA|||SCCA1
117285,UniProtKB reviewed (Swiss-Prot),Q96PH6,DEFB118|||C20orf63|||DEFB18|||ESC42
84634,UniProtKB reviewed (Swiss-Prot),Q969F8,KISS1R|||AXOR12|||GPR54
7867,UniProtKB reviewed (Swiss-Prot),Q16644,MAPKAPK3
2720,UniProtKB reviewed (Swiss-Prot),P16278,GLB1|||ELNR1
9054,UniProtKB reviewed (Swiss-Prot),Q9Y697,NFS1|||NIFS
92856,UniProtKB reviewed (Swiss-Prot),Q96G21,IMP4|||BXDC4
55571,UniProtKB reviewed (Swiss-Prot),Q9UKZ1,CNOT11|||C2orf29
730,UniProtKB reviewed (Swiss-Prot),P10643,C7
257202,UniProtKB reviewed (Swiss-Prot),P59796,GPX6
10189,UniProtKB reviewed (Swiss-Prot),Q86V81,ALYREF|||ALY|||BEF|||THOC4
27034,UniProtKB reviewed (Swiss-Prot),Q9UKU7,ACAD8|||ARC42|||IBD
5471,UniProtKB reviewed (Swiss-Prot),Q06203,PPAT|||GPAT
11185,UniProtKB reviewed (Swiss-Prot),O95050,INMT
2519,UniProtKB reviewed (Swiss-Prot),Q9BTY2,FUCA2
79815,UniProtKB reviewed (Swiss-Prot),Q9H841,NIPAL2|||NPAL2
140460,UniProtKB reviewed (Swiss-Prot),Q9H672,ASB7
51639,UniProtKB reviewed (Swiss-Prot),Q9Y3B4,SF3B6|||SAP14|||SF3B14|||SF3B14A
10425,UniProtKB reviewed (Swiss-Prot),O95376,ARIH2|||ARI2|||TRIAD1
1066,UniProtKB reviewed (Swiss-Prot),P23141,CES1|||CES2|||SES1
940,UniProtKB reviewed (Swiss-Prot),P10747,CD28
347731,UniProtKB reviewed (Swiss-Prot),Q86VH5,LRRTM3
55788,UniProtKB reviewed (Swiss-Prot),Q9NUN5,LMBRD1|||C6orf209|||NESI
27248,UniProtKB reviewed (Swiss-Prot),Q96DZ1,ERLEC1|||C2orf30|||XTP3TPB
7112,UniProtKB reviewed (Swiss-Prot),P42166,TMPO|||LAP2
7112,UniProtKB reviewed (Swiss-Prot),P42167,TMPO|||LAP2
256144,UniProtKB reviewed (Swiss-Prot),Q8NH37,OR4C3
7266,UniProtKB reviewed (Swiss-Prot),Q99615,DNAJC7|||TPR2|||TTC2
84516,UniProtKB reviewed (Swiss-Prot),Q9BTE1,DCTN5
967,UniProtKB reviewed (Swiss-Prot),P08962,CD63|||MLA1|||TSPAN30
80335,UniProtKB reviewed (Swiss-Prot),Q6UXN9,WDR82|||SWD2|||TMEM113|||WDR82A
6882,UniProtKB reviewed (Swiss-Prot),Q15544,TAF11|||TAF2I
6809,UniProtKB reviewed (Swiss-Prot),Q13277,STX3|||STX3A
10616,UniProtKB reviewed (Swiss-Prot),Q9BYM8,RBCK1|||C20orf18|||RNF54|||UBCE7IP3|||XAP3|||XAP4
80233,UniProtKB reviewed (Swiss-Prot),Q0VG06,FAAP100|||C17orf70
57695,UniProtKB reviewed (Swiss-Prot),Q86T82,USP37|||KIAA1594
5004,UniProtKB reviewed (Swiss-Prot),P02763,ORM1|||AGP1
3705,UniProtKB reviewed (Swiss-Prot),Q13572,ITPK1
6036,UniProtKB reviewed (Swiss-Prot),P10153,RNASE2|||EDN|||RNS2
58484,UniProtKB reviewed (Swiss-Prot),Q9NPP4,NLRC4|||CARD12|||CLAN|||CLAN1|||IPAF
257397,UniProtKB reviewed (Swiss-Prot),Q8N5C8,TAB3|||MAP3K7IP3
9882,UniProtKB reviewed (Swiss-Prot),O60343,TBC1D4|||AS160|||KIAA0603
26140,UniProtKB reviewed (Swiss-Prot),Q9Y4R7,TTLL3
2877,UniProtKB reviewed (Swiss-Prot),P18283,GPX2
9531,UniProtKB reviewed (Swiss-Prot),O95817,BAG3|||BIS
1191,UniProtKB reviewed (Swiss-Prot),P10909,CLU|||APOJ|||CLI|||KUB1
55762,UniProtKB reviewed (Swiss-Prot),Q9NV72,ZNF701
143187,UniProtKB reviewed (Swiss-Prot),Q96AJ9,VTI1A
4008,UniProtKB reviewed (Swiss-Prot),Q8WWI1,LMO7|||FBX20|||FBXO20|||KIAA0858
7988,UniProtKB reviewed (Swiss-Prot),Q9UDV6,ZNF212|||ZNFC150
25949,UniProtKB reviewed (Swiss-Prot),O95926,SYF2|||CBPIN|||GCIPIP
5602,UniProtKB reviewed (Swiss-Prot),P53779,MAPK10|||JNK3|||JNK3A|||PRKM10|||SAPK1B
57148,UniProtKB reviewed (Swiss-Prot),Q86X10,RALGAPB|||KIAA1219
539,UniProtKB reviewed (Swiss-Prot),P48047,ATP5PO|||ATP5O|||ATPO
7423,UniProtKB reviewed (Swiss-Prot),P49765,VEGFB|||VRF
8975,UniProtKB reviewed (Swiss-Prot),Q92995,USP13|||ISOT3
8668,UniProtKB reviewed (Swiss-Prot),Q13347,EIF3I|||EIF3S2|||TRIP1
163486,UniProtKB reviewed (Swiss-Prot),Q6P3S1,DENND1B|||C1orf218|||FAM31B
2491,UniProtKB reviewed (Swiss-Prot),Q92674,CENPI|||FSHPRH1|||ICEN19|||LRPR1
60673,UniProtKB reviewed (Swiss-Prot),Q9BSB4,ATG101|||C12orf44
56616,UniProtKB reviewed (Swiss-Prot),Q9NR28,DIABLO|||SMAC
11118,UniProtKB reviewed (Swiss-Prot),P78410,BTN3A2|||BT3.2|||BTF3|||BTF4
7004,UniProtKB reviewed (Swiss-Prot),Q15561,TEAD4|||RTEF1|||TCF13L1|||TEF3
827,UniProtKB reviewed (Swiss-Prot),Q9Y6Q1,CAPN6|||CALPM|||CANPX
128312,UniProtKB reviewed (Swiss-Prot),Q8N257,H2BC26|||H2BU1|||HIST3H2BB
1795,UniProtKB reviewed (Swiss-Prot),Q8IZD9,DOCK3|||KIAA0299|||MOCA
22802,UniProtKB reviewed (Swiss-Prot),Q14CN2,CLCA4|||CaCC2
1757,UniProtKB reviewed (Swiss-Prot),Q9UL12,SARDH|||DMGDHL1
84676,UniProtKB reviewed (Swiss-Prot),Q969Q1,TRIM63|||IRF|||MURF1|||RNF28|||SMRZ
54482,UniProtKB reviewed (Swiss-Prot),Q9NUP7,TRMT13|||CCDC76
3938,UniProtKB reviewed (Swiss-Prot),P09848,LCT|||LPH
4155,UniProtKB reviewed (Swiss-Prot),P02686,MBP
201475,UniProtKB reviewed (Swiss-Prot),Q6IQ22,RAB12
121214,UniProtKB reviewed (Swiss-Prot),Q8NEX9,SDR9C7|||RDHS|||SDRO
10776,UniProtKB reviewed (Swiss-Prot),P56211,ARPP19
3191,UniProtKB reviewed (Swiss-Prot),P14866,HNRNPL|||HNRPL
132112,UniProtKB reviewed (Swiss-Prot),P59025,RTP1|||Z3CXXC1
144577,UniProtKB reviewed (Swiss-Prot),Q96MD2,KICS2|||C12orf66
226,UniProtKB reviewed (Swiss-Prot),P04075,ALDOA|||ALDA
4056,UniProtKB reviewed (Swiss-Prot),Q16873,LTC4S
29763,UniProtKB reviewed (Swiss-Prot),Q9UKS6,PACSIN3
51253,UniProtKB reviewed (Swiss-Prot),Q9BZE1,MRPL37|||MRPL2|||RPML2
6921,UniProtKB reviewed (Swiss-Prot),Q15369,ELOC|||TCEB1
3373,UniProtKB reviewed (Swiss-Prot),Q12794,HYAL1|||LUCA1
3178,UniProtKB reviewed (Swiss-Prot),P09651,HNRNPA1|||HNRPA1
